keyphrase,mean_abs_shap
abandoned,0.002240432704766887
alien,0.0036892831763350184
alien planet,0.0
android cyborg,0.0005598831457104921
anime,0.002482970615386018
anime colors,0.00056882008845722
anime epic,0.0008769230984782012
armor daedric,86945212929.70529
art,0.008173906022080847
art artgerm,0.006558488477287627
art city,0.0005762284101345821
art hyperrealistic,0.0
art josan,9.125483590289592e-05
art lifelike,0.0011426938369358034
art punk,4.459308619281199e-05
art realistic,0.0001344222712170549
art sharp,5.542468181220386e-05
art smooth,0.0009621011309434469
art style,0.0033581486099214667
art thorough,0.000803220240247589
art trending,0.0010553066364865442
artistic,0.0008964545039055076
artistic painting,0.0006709280696356436
artstation,0.007425098554858505
artstation cinematic,0.00019837315957169235
artstation galaxy,0.0013690490210511784
artstation hyperrealism,0.0008483032997761451
artwork,0.005439349783925201
atmospheric lighting,6.215674663334962e-05
avant garde,0.0004883160017059503
azores,3.9400136401450514e-05
azores islands,0.0001561733996262481
beautiful landscape,1.148987036398619e-05
beneath cherry,86945212929.70702
bjork,0.00026983850119419135
black,0.0013114559741883227
body manga,0.0004872658162566118
body portrait,0.0008795671220534438
body shot,0.0005720366936486531
bonsai,0.0006546123954994203
bonsai tree,0.0005816059657330231
bull looking,0.0006882369762501366
bull modeled,0.0007933246240487091
butterfly volumetric,0.0005773270907692375
camera,0.0019274683567078255
candle butterfly,3.0355044799261753e-05
candle volumetric,0.002706330197020105
canvas,0.004523778274404285
castle,0.0021170121093320223
castle enclosed,0.0004838853652606959
cat,0.002698022142308082
century,0.0013667567416487923
century modern,0.0010988280453460928
character portrait,0.0030774232060241952
chris,0.0003458061899147005
chris foss,9.797489984363004e-05
churches domes,0.0006394142339503514
cinematic,0.0015295440053619221
cinematic composition,0.005678578279370509
cinematic deviantart,0.0008003201118012455
city,0.00201393835938973
cloud fashion,0.0005818694332353589
clouds,0.0037867733833637563
clouds covered,0.0004168410181402354
clouds girl,0.0005017607071675259
clouds madeira,0.0008320641372213198
collage canvas,1.8898893513774774e-05
colors,0.000638673447288949
colossal,0.0006278180553403152
colossal goddess,0.0007511461860492298
comprehensive art,0.0013150482478208377
concept art,0.002421860565487212
contemporary art,3.104601458276818e-05
cute fluffy,0.0010143290392880626
cyberpunk,0.01609190513364088
cyborg,0.003188828871478403
cyborg body,0.0005900633089579193
cyborg bull,0.0005346896956831502
daedric armor,0.0005346063650914702
dark,0.002754769419813856
dark uncanny,0.0014678699893722837
detailed painting,0.0008239453627393688
detailed portrait,0.0009075156813601159
detailed ultra,0.0016044999127305048
details intricate,0.0010195553152700628
detective pikachu,0.000934093077783732
deviantart,0.003248444275141906
deviantart hyperrealistic,76508895906.06146
deviantart realistic,0.0013135267312227546
digital art,0.001384756220834824
digital painting,0.0050711995289274715
digital render,1.7283887370686666e-05
divine,0.0002883902055501165
divine pink,0.00014493190732031577
dog,0.001782359856613769
donald,0.0033592871570130235
dragon,0.001924109250943238
dramatic lighting,0.0017671101028090158
drawing,0.002934214146271448
dunmer nerevarine,0.0005730931548073062
einstein,0.0024798264695885855
elf,0.0016017032288045555
elson,0.0007230097888904572
emo,0.0007288713334263345
emo punk,0.0005044554988930596
engine,0.001159974471507921
entries sony,0.0005017410286763666
fantasy art,0.0017496583484765819
fantasy painting,0.0010199617974505136
fantasy style,0.00014044793031076953
faroe azores,2.4251787463982756e-05
fashion clouds,0.0012150008507595333
fiction,0.0013049200776354933
fiction film,0.012022561884931952
fifth element,0.0011382446792883964
film,0.022708811309891094
film neuromancer,0.001191968619366264
flamingos,0.00015630585013775365
flowers,0.0009673578608883791
fluffy,0.0009364318722299119
footage,0.0034390952694263906
forest,0.001450747911802825
frazetta,0.0009565704234483416
frazetta fantasy,0.00026386150569644284
frazetta giger,0.003496496479473746
futuristic,0.0005426730402354961
garden,0.0008360365136789905
garden intricate,0.0007462738603330029
giant digital,0.0008608638461062921
girl clouds,0.0004550652597113213
glamorous sophisticated,0.004171433857890656
glimpse universe,0.0017099674599938557
goddess,0.0055551549889375435
goddess creative,0.0005686220634651342
goddess wearing,0.0007857218553561904
gordon,0.0006859704789381629
goth,0.000973910469079623
goth emo,0.0006047595122171843
goths,0.00045161735367957025
goths loitering,0.0018270635191329158
gundam,0.0020904111908503762
gundam unreal,0.0005675016594078899
gustav klimt,0.004043329392381662
hd,0.0014818015108325785
hd goth,0.0005670080857567024
hd painting,0.001660348055047649
hd unreal,0.0004952224549998862
heavy detailed,0.002073144323868836
high quality,0.004653440074927215
hills slavic,0.0004863744414501538
himalayan,0.0002883892500351432
himalayan rocksalt,2.8249393152979387e-05
houses,0.000740425914279964
houses built,0.0011568828273163295
hyper detailed,0.0011264567930377562
illustrated,0.0016801772255439795
illustration,0.0007427414299410312
illustration art,0.0074078152780999275
imposing cyborg,0.0007094463414209365
intricate details,0.002049137037194459
intricate hyper,0.0006486804766912505
intricate royo,0.0012632688592402182
intricate volumetric,0.0013951561689994599
josan,0.0006435049374331668
josan gonzalez,0.001219826396547977
knight,0.0017793687369520542
kylie,0.0009873677962250345
kylie minogue,0.0005693524761339824
lamp,0.0
landscape,0.002354701849030084
landscape colourful,0.001468693460726015
lantern candle,4.569322680042984e-05
length portrait,0.0009636510430566559
lifelike photorealistic,0.0007342371138208104
lighting,0.002070355066500156
lighting hd,7.78956748846186e-05
lightning intricate,0.001727786538269258
log houses,0.0013982743097461154
looking camera,0.0005435407524007899
low clouds,0.0
madeira faroe,0.0
male dunmer,0.0004453498420186644
manga,0.004615386034732937
manga illustration,0.0005948964225838738
marble hourglass,0.0006427914875054419
matte,0.001288285394561802
matte painting,0.005487623948582515
media collage,0.00018404999744156563
mid century,0.0023149667122408977
minogue,0.0006789954014415628
mixed media,0.00013178217994658256
modern,0.0014119249760683765
modern art,0.0007463200646669801
movie,0.003408926488529618
movie poster,0.0007602038525645138
natural scene,0.011600817224254888
nerevarine,3.4437157102700923e-06
neuromancer,0.001196127593656944
oblivion skyrim,0.00036406842496412156
octane render,0.000429857628315804
oil painting,0.0015865569163819905
overcast thunder,0.00018252155202539178
pablo picasso,0.0005453062366589838
painted,0.0005358293791906561
painted pablo,0.0005408757150477348
painting,0.03182083733545006
painting aesthetic,0.00039289835227229627
painting artstation,0.002989104212324389
painting beautiful,0.0007621746589168646
painting character,0.0004811732465113211
painting chris,6.913068410857648e-05
painting deviantart,0.004128356020612665
painting lurid,0.00056291920202804
painting lush,1.4030502371712965e-05
painting peter,0.0002521589201309
painting ronny,0.001450370039147072
painting sargent,0.0009706440454777318
painting stalenhag,0.001106462327919719
painting unreal,0.0009232304910531414
peter,0.00015889578547942227
peter elson,0.0005153105838552748
photo,0.003420711386616646
photo realistic,0.0007164967706860295
photograph,0.0030532588229377398
photograph divine,2.5293947452669996e-05
photography,0.007680258838248997
photography awards,0.0006070011187667429
photorealistic,0.0030463411850594783
photorealistic digital,0.0008518197471852287
phyics entries,0.0007069577758178054
picasso,0.003440288425164593
picasso hair,0.0006518582427020828
pikachu hannah,0.0008840787268229493
pink bonsai,1.8182153725662357e-05
pink flamingos,6.228931949638166e-05
pixar,0.0015271893427431663
pixie cut,0.000521816123862588
portrait,76508895906.13803
portrait extremely,0.0007800007396177419
portrait intricate,4.141995399285164e-05
portrait male,0.0005748095738682826
portrait painted,0.0032779517874993386
portrait painting,0.0007791043897239744
portrait photograph,0.00012517177210433894
portrait sabouts,1.76859595250821e-05
portrait scifi,0.0012465822164007601
punk art,4.909194625713017e-05
punk portrait,0.0005890223820440173
puppy,0.0008571326924750235
render hyperrealist,0.00018681566090983365
robot,0.0003897107617309081
rocksalt lamp,1.2688224149887332e-05
rpg portrait,0.0009195724225677366
runway,0.0005406607382930311
saitama,0.000746948402215619
saitama anime,0.0011826564434657438
scene,0.00515567213501867
scene science,0.0007219011374760275
science,0.0006263586129217356
science fiction,0.0007465087892184387
screenshot,4.63004507803893e-06
shade talking,8.837404053091064e-05
skyrim elegant,0.0007163906836249683
sony,0.0015949150928824597
sony world,0.0006977316420315109
space,0.0005668295983188988
starmaker,0.0001009075388801394
starmaker matte,0.00010912742214105005
stars,0.00028966171666294007
statue,0.0005404576741964911
steampunk,0.0010239160728038146
steampunk butterfly,0.0
steampunk himalayan,0.00015405380863950865
studio ghibli,0.0005675690714919751
style contemporary,4.9841753599163635e-05
style portrait,0.0008083386262494976
surreal,0.0026449938513805732
surreal concept,0.0010989207333521103
surreal glimpse,0.0018135212162195228
surrealism,0.001091718597996824
surrealism surreal,0.0006205656795934509
tall castle,0.0006588374078176787
tracing artstation,0.00241245529396264
traits painting,0.0007975485098354079
trending artstation,0.0009062813483273391
ufo,0.0012928244953083503
ufo ignoring,0.0006383832866627907
ultra realistic,0.002368346947136238
uncanny painting,0.0036282512428632775
unreal engine,0.003041112216918326
vallejo frazetta,0.0013207103899548604
vivec portrait,7.76617288925844e-05
volumetric lighting,0.0008264861817641973
wallpaper,0.0016873494685706275
wallpaper illustration,2.08944732659526e-05
wearing cloud,0.0004807622854348994
wizard,0.00012716239668737365
woman,0.0009321570902438756
wooden churches,0.0005715011702890026
world photography,0.0012427353838431394
